group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,ParSimd16,10000,,,63827666.0,ns,744
Means,ParSimd16,10000,,,65257375.0,ns,756
Means,ParSimd16,10000,,,65054042.0,ns,768
Means,ParSimd16,10000,,,69071375.0,ns,780
Means,ParSimd16,10000,,,67738791.0,ns,792
Means,ParSimd16,10000,,,68971667.0,ns,804
Means,ParSimd16,10000,,,68108084.0,ns,816
Means,ParSimd16,10000,,,70901458.0,ns,828
Means,ParSimd16,10000,,,72222250.0,ns,840
Means,ParSimd16,10000,,,73758458.0,ns,852
Means,ParSimd16,10000,,,72737709.0,ns,864
Means,ParSimd16,10000,,,74371167.0,ns,876
Means,ParSimd16,10000,,,77437459.0,ns,888
Means,ParSimd16,10000,,,75603417.0,ns,900
Means,ParSimd16,10000,,,77005792.0,ns,912
Means,ParSimd16,10000,,,79633334.0,ns,924
Means,ParSimd16,10000,,,79101125.0,ns,936
Means,ParSimd16,10000,,,81591791.0,ns,948
Means,ParSimd16,10000,,,82185833.0,ns,960
Means,ParSimd16,10000,,,82721792.0,ns,972
Means,ParSimd16,10000,,,85097500.0,ns,984
Means,ParSimd16,10000,,,83678916.0,ns,996
Means,ParSimd16,10000,,,87742459.0,ns,1008
Means,ParSimd16,10000,,,86051042.0,ns,1020
Means,ParSimd16,10000,,,87339125.0,ns,1032
Means,ParSimd16,10000,,,87508583.0,ns,1044
Means,ParSimd16,10000,,,89971959.0,ns,1056
Means,ParSimd16,10000,,,92573917.0,ns,1068
Means,ParSimd16,10000,,,94232042.0,ns,1080
Means,ParSimd16,10000,,,93472125.0,ns,1092
Means,ParSimd16,10000,,,95949458.0,ns,1104
Means,ParSimd16,10000,,,93374291.0,ns,1116
Means,ParSimd16,10000,,,97026333.0,ns,1128
Means,ParSimd16,10000,,,96081083.0,ns,1140
